title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Shot of a dog barking","Barrowclough Photo Card: Photographer","1912","Shot of a dog barking.","dogs; postcards","Manitoba, Canada","56.24744925","-97.63270595","Prairie Postcards Collection, University of Alberta Library","PC002385","Image;StillImage","image/jpeg","eng","https://creativecommons.org/publicdomain/mark/1.0/","","https://nvrialp.github.io/demo/objects/thumbs/pc002385_th.jpg","https://nvrialp.github.io/demo/objects/PC002385.json",/demo/items/demo_iiif_001.html
"A girl and her dog","Wainwright Studio: Publisher","1920","Scene of a girl and a dog standing beside a fence in Wainwright, Alberta.","girls; dogs; postcards","Wainwright, Alberta, Canada","52.84320805","-110.8508208","Prairie Postcards Collection, University of Alberta Library","PC005033","Image;StillImage","image/jpeg","eng","https://creativecommons.org/publicdomain/mark/1.0/","","https://nvrialp.github.io/demo/objects/thumbs/pc005033_th.jpg","https://nvrialp.github.io/demo/objects/PC005033.json",/demo/items/demo_iiif_002.html
"Cats and dogs","New York, Dodd, Mead &amp; company [c1880]","1880","Picture book about cats and dogs","cats; dogs; girls","New York","40.71055333","-73.9852298","","21018296","Text","application/pdf","eng","https://creativecommons.org/publicdomain/mark/1.0/","","https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:catsdogs00unse:catsdogs00unse_0001/full/pct:100.0/0/default.jpg","https://www.loc.gov/item/21018296/manifest.json",/demo/items/demo_iiif_003.html
"Prairie dog","Morton, W.J.: Photographer","1917","Close-up view of a curious prairie dog.","prairie dogs","Vulcan, Alberta, Canada","50.40495675","-113.2605853","Prairie Postcards Collection, University of Alberta Library","PC004934","Image;StillImage","image/jpeg","eng","https://creativecommons.org/publicdomain/mark/1.0/","","https://nvrialp.github.io/demo/objects/thumbs/pc004934_th.jpg","https://nvrialp.github.io/demo/objects/PC004934.json",/demo/items/demo_iiif_004.html
"Young Folks Pictures and Stories of Animals","Tenney, Abby A. (Abby Amy), 1836-1903.","1887","A children&#39;s natural history of animals","dogs; animals","","","","","unk83034008","Text","application/pdf","eng","https://creativecommons.org/publicdomain/mark/1.0/","","https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:youngfolkspictu00tenn:youngfolkspictu00tenn_0001/full/pct:100.0/0/default.jpg","https://www.loc.gov/item/unk83034008/manifest.json",/demo/items/demo_iiif_005.html
"Dog on Old Chatham Mill wheel","Beals, Jessie Tarbox, 1870-1942, American [photographer]","1910","Dog on Old Chatham Mill wheel","dogs; mills","","","","","10965711","Image;StillImage","image/jpeg","eng","https://creativecommons.org/publicdomain/mark/1.0/","","https://nvrialp.github.io/demo/objects/thumbs/10965711_th.jpg","https://nvrialp.github.io/demo/objects/10965711.json",/demo/items/demo_iiif_006.html

